Name,Brand,GroupID
Shredded Parmesan Cheese,Great Value,1
Jeans,Goodfellow & Co.,2
Baking Soda,Good & Gather,3
Eczema Relief Cream,Eucerin,4
Toilet Paper (Strong),Charmin,5
GV Whole Gal,Great Value,6
Whole Milk,Good & Gather,6
Whole Milk,Friendly Farms,6
Whole Milk,Kroger,6
Mexican Shreds,Happy Farms,7
Entertainment Crck,Savoritz,8
FTO WB Coffee,Simply Nature,9
Redcd Sodium Broth,Chef's Cupboard,10
Peanut Butter,Peanut Delight,11
Bar Pro Penn,Barilla,12
MetRx Big 10,MetRx,13
Gv Red E Sce,Great Value,14
GV RSTD RED,Great Value,15
GV PEPITAS,Great Value,16
GARHERB GOAT,Marketside,17
GARLIC,Spice World,18
BANANA,Dole,19
FUJI APPLES,Washington,20
