ItemName,StoreID,UnitPrice,Date,Notes
Honeycrisp Apple,1,2.10,2025-05-24,,
Honeycrisp Apple,2,1.59,2025-05-24,,
Honeycrisp Apple,3,1.27,2025-05-24,,
Honeycrisp Apple,4,1.50,2025-05-24,,
Honeycrisp Apple,5,2.77,2025-05-24,,
Banana,1,0.28,2025-05-24,,
Banana,2,0.29,2025-05-24,,
Banana,3,0.17,2025-05-24,,
Banana,4,0.23,2025-05-24,,
Banana,5,0.55,2025-05-24,,
Banana,6,0.23,2025-05-24,,
Boneless Skinless Chicken Breast Fillets,1,2.57,2025-05-27,,
Boneless Skinless Chicken Breast Fillets,2,3.79,2025-05-27,,
Boneless Skinless Chicken Breast Fillets,3,2.49,2025-05-27,,
Boneless Skinless Chicken Breast Fillets,4,2.79,2025-05-27,,
Boneless Skinless Chicken Breast Fillets,5,5.99,2025-05-27,,
